Designator,Mid X,Mid Y,Rotation,Layer
F1,184.82,-111.98,180.0,top
F10,346.32,-95.98,0.0,top
F11,368.32,-110.78,0.0,top
F12,404.82,-101.98,0.0,top
F13,411.72,-110.78,0.0,top
F14,427.47,-105.38,0.0,top
F2,206.42,-97.18,180.0,top
F3,196.32,-110.78,0.0,top
F4,249.92,-97.18,180.0,top
F5,272.32,-111.98,180.0,top
F6,260.75,-95.98,0.0,top
F7,281.22,-110.78,0.0,top
F8,304.32,-95.98,0.0,top
F9,324.72,-110.78,0.0,top
J1,172.77,-96.73,90.0,top
J10,337.62,-111.48,-90.0,top
J11,359.22,-96.48,-90.0,top
J12,380.82,-111.48,-90.0,top
J13,410.42,-96.48,90.0,top
J14,424.02,-111.48,-90.0,top
J15,434.32,-96.48,-90.0,top
J2,172.82,-111.48,90.0,top
J3,194.42,-96.48,90.0,top
J4,208.02,-111.48,-90.0,top
J5,237.62,-96.48,90.0,top
J6,259.22,-111.48,90.0,top
J7,272.82,-96.48,-90.0,top
J8,294.42,-111.48,-90.0,top
J9,316.02,-96.48,-90.0,top
P1,425.32,-97.7275,-90.0,top
S1,224.73,-109.98,90.0,top
S2,375.93,-100.48,90.0,top
TH1,172.77,-104.48,180.0,top
TH2,215.82,-111.98,180.0,top
TH3,281.32,-96.98,180.0,top
TH4,345.82,-111.98,180.0,top
TH5,402.32,-97.48,180.0,top
